Language,Dropped Gopher Above Avg Threshold Ratio,Dropped Gopher Above Avg Threshold Count,Dropped Gopher Below Avg Threshold Ratio,Dropped Gopher Below Avg Threshold Count,Dropped Stopwords Threshold Ratio,Dropped Stopwords Threshold Count,Dropped Alpha Ratio,Dropped Alpha Count,Dropped List Threshold Ratio,Dropped List Threshold Count,Total Processed,Total Processed (Quality filter),Dropped Total Ratio,Dropped Total Count,Total Retained Count,Total Retained Ratio
no,0.024090370092991326,386,0.0,0,0.03201647631529676,513,0.05311115271796792,851,0.07727916076929481,4641,99940,76078,0.21061279213438838,16023,55414,0.5544726836101661
pl,0.010132405047553925,163,0.0,0,0.05358363896313794,862,0.04251880400323242,684,0.06332606397039386,3833,100000,76615,0.20997193761012856,16087,56695,0.56695
ru,0.015920129519697786,236,0.0002698327037236913,4,0.06010523475445224,891,0.09828656233135456,1457,0.08195621893969357,4766,100000,72977,0.20313249379941625,14824,53387,0.53387
sl,0.017053499969217508,277,0.0008003447638982947,13,0.06901434464076833,1121,0.05774795296435387,938,0.06130904455179818,3655,99860,75859,0.2141209348923661,16243,55961,0.5603945523733227
sv,0.018419269389515186,299,6.160290765724142e-05,1,0.0370233475020021,601,0.10817470584611594,1756,0.053082334159280264,3192,99980,76366,0.2125684205012702,16233,56941,0.5695239047809562
tr,0.010261963696369636,199,0.0001547029702970297,3,0.18110561056105612,3512,0.019183168316831683,372,0.052099327579816807,2952,99980,76053,0.2549800796812749,19392,53709,0.5371974394878976
nl,0.01909158971799351,306,0.0,0,0.03369104067881208,540,0.10300723733466434,1651,0.06650548086190841,4071,100000,77241,0.20750637614738288,16028,57142,0.57142
zh,0.08132450331125828,921,0.0,0,0.3943487858719647,4466,0.03770419426048565,427,0.0740760840071634,4095,100000,66606,0.17002972705161698,11325,51186,0.51186
ja,0.31512993008837886,2389,0.0,0,0.02506265664160401,190,0.08877456799894473,673,0.028437926568898535,1625,100000,64723,0.11712992290221405,7581,55517,0.55517
vi,0.0025366577986759885,41,0.0002474788096269257,4,0.21097568520695414,3410,0.16729567530780176,2704,0.021719799762877093,1319,99980,76891,0.21020665617562523,16163,59409,0.5942088417683536
id,0.008901448251501236,126,0.00042387848816672556,6,0.10900741787354291,1543,0.06958671847403744,985,0.026044588808504354,1764,99980,81885,0.17286438297612505,14155,65966,0.6597919583916784
fa,0.01858736059479554,245,7.586677793794098e-05,1,0.028222441392914042,372,0.13466353083984522,1775,0.06304529994577808,3837,99980,74042,0.17802058291240108,13181,57024,0.5703540708141628
ko,0.10355968870283483,3686,0.00030904953221138986,11,0.30500379288062257,10856,0.22920237125277443,8158,0.04718313838503701,1670,99980,70987,0.5014016650936087,35593,33724,0.33730746149229845
ar,0.042584434654919234,609,0.0,0,0.14124886371582407,2020,0.040137053352912386,574,0.06408983013753977,3807,99960,73702,0.19403815364576266,14301,55594,0.5561624649859944
th,0.0662458330378041,934,0.0,0,0.08284275480530534,1168,0.17589899992907299,2480,0.043429400036251585,2396,99960,69269,0.20353982300884957,14099,52774,0.5279511804721889
hi,0.034725717161550075,345,0.0,0,0.052642174131857074,523,0.09229994967287368,917,0.02462318636427666,1748,99864,80925,0.12276799505715168,9935,69242,0.693362973644156
bn,0.012199921290830381,186,0.0004591368227731864,7,0.2660369933097206,4056,0.14095500459136823,2149,0.025103203674632247,1727,99771,84042,0.18140929535232383,15246,67069,0.6722294053382245
ta,0.007775987107171636,193,0.004311039484286866,107,0.35523771152296535,8817,0.04967767929089444,1233,0.03575757575757576,2006,99375,80920,0.3067226890756303,24820,54094,0.5443421383647798
hu,0.01598014888337469,322,0.0012406947890818859,25,0.07722084367245657,1556,0.075136476426799,1514,0.06806777259578488,3459,99980,70967,0.2839347865909507,20150,47358,0.4736747349469894
uk,0.030279880547260225,436,0.0008333912077227585,12,0.13653725953191193,1966,0.10021529272866171,1443,0.06896720031237798,4239,99940,75863,0.18980267060358805,14399,57225,0.5725935561336802
sk,0.01300624557336939,202,0.0,0,0.1098448264760801,1706,0.019380593651406864,301,0.06730162944280357,4056,99940,75797,0.20490256870324683,15531,56210,0.5624374624774865
bg,0.025507468402910762,333,0.0,0,0.017311374952125622,226,0.06449636154729989,842,0.06471064282200606,4078,99920,76074,0.1716092225990483,13055,58941,0.5898819055244195
ca,0.03173648693793011,475,0.0,0,0.0052782788802031135,79,0.10195764014164495,1526,0.07026009747623414,4368,99880,77136,0.19403391412570006,14967,57801,0.5787044453344012
hr,0.01791071113463914,203,0.0,0,0.05099700017646021,578,0.03714487383095112,421,0.0560559768240751,3541,99900,74503,0.15212810222407153,11334,59628,0.5968768768768768
sr,0.026586852181416168,493,0.00021571482500134823,4,0.09189451545057434,1704,0.1251685272070323,2321,0.04503105590062112,2697,99880,78435,0.23641231593038822,18543,57195,0.572637164597517
lt,0.023232077764277034,478,9.720534629404617e-05,2,0.13822600243013367,2844,0.04869987849331713,1002,0.06542869309240368,3534,99840,74588,0.2758486619831608,20575,50479,0.5055989583333333
et,0.012081784386617101,260,0.0009293680297397769,20,0.16184944237918217,3483,0.051719330855018585,1113,0.08462506086674242,4171,99820,70808,0.30392046096486275,21520,45117,0.4519835704267682
he,0.02734080737359862,617,0.003057561926707139,69,0.14104666105375105,3183,0.2684007621748571,6057,0.049765276355698086,2576,99900,74330,0.3036055428494551,22567,49187,0.49236236236236236
lv,0.03981264637002342,748,0.00021290185224611454,4,0.11368958909942517,2136,0.046891632957206726,881,0.09399738543104075,5177,99699,73864,0.25435936315390445,18788,49899,0.5004964944482894
sh,0.017151723559506834,409,0.0,0,0.06915205904554222,1649,0.11167491403170343,2663,0.07322797034329505,3526,99504,71997,0.3312082447879773,23846,44625,0.4484744331886155
sq,0.020477518299058906,235,0.00026141512722202857,3,0.009672359707215058,111,0.10308469850121994,1183,0.03768220462394075,2717,99489,83579,0.1373072183203915,11476,69386,0.6974238358009428
az,0.010512865191380612,181,0.000987396178195969,17,0.15112969739211243,2602,0.18534007086019633,3191,0.046608894028928566,2942,99561,80338,0.21430705270233263,17217,60179,0.6044435069957111
is,0.02107535072684568,332,0.0,0,0.053894496286421636,849,0.05186313718021964,817,0.11242891412658737,6702,99323,75364,0.20902552943049732,15753,52909,0.5326963543187379
mk,0.061965202509982886,869,7.13063320022818e-05,1,0.01825442099258414,256,0.03986023958927553,559,0.05621372727708763,3516,99338,76571,0.18315027882618745,14024,59031,0.5942438945821338
ka,0.004405868616997841,100,0.0012777018989293739,29,0.1477287747279376,3353,4.405868616997841e-05,1,0.10762985733427918,5462,99318,73445,0.3090339709987065,22697,45286,0.4559697134456997
gl,0.0182113101821131,247,0.0047187200471872,64,0.0052348300523483,71,0.08913957089139571,1209,0.11700629307761462,7809,99110,80303,0.1688977995840753,13563,58931,0.5946019574210473
hy,0.009918994875185981,180,0.002038904502121563,37,0.18879153579103986,3426,0.06276519534909351,1139,0.09311682970010193,5207,99081,74066,0.24501120622147815,18147,50712,0.5118236594301632
eu,0.011783245585759822,329,0.00042978403352315463,12,0.2636008738942015,7360,0.10819813043945417,3021,0.06732472791698305,3192,99129,75333,0.3706343833379794,27921,44220,0.4460854038676876
sw,0.002631578947368421,45,0.0,0,0.024502923976608186,419,0.02631578947368421,450,0.05117336462305661,3489,95995,85280,0.20051594746716697,17100,64691,0.6738996822751185
